key,cat
clinical status at last follow-up awd - alive with disease; dod - dead from disease; ned - no evidence of disease,no
dfs - disease-free survival days,no
DNA isolated from blood of a patient with congenital heart disease (Ventricular septal defect) Gender,no
DNA isolated from blood of a patient with congenital heart disease (Mithral stenosis) Gender,no
DNA isolated from blood of a patient with congenital heart disease (Tetralogy of Fallot) Gender,no
DNA isolated from blood of a patient with congenital heart disease (Atrial Septal Defect) Gender,no
DNA isolated from blood of a patient with congenital heart disease ( Ventricular septal defect) Gender,no
DNA isolated from blood of a patient with congenital heart disease (Aortic insufficiency) Gender,no
DNA isolated from blood of a patient with congenital heart disease (Hypoplastic Left Heart Syndrome) Gender,no
DNA isolated from blood of a patient with congenital heart disease (Aortic stenosis) Gender,no
DNA isolated from blood of a patient with congenital heart disease (Patent Ductus Arteriosus) Gender,no
DNA isolated from blood of a patient with congenital heart disease (Tricuspid atresia) Gender,no
diseases,no
disease abbreviation,no
ajcc neoplasm disease lymph node stage,no
ajcc neoplasm disease stage,no
disease extracapsular extension ind-3,no
disease detection molecular analysis method type,no
tumor residual disease,no
primary other site of disease name,no
local disease recurrence,no
tumor disease anatomic site,no
histologic disease progression present type,no
histologic disease progression present text,no
histologic disease progression present indicator,no
cardiovascular disease state,no
disease recurrence,no
disease state exosomes,no
tfc disease stage,no
disease duration,no
measurable disease check if it's measurable,no
cad disease status,no
status of disease 5 years,no
disease-specific survival time months,no
donor disease status,no
disease/genotype,no
disease activity score das-28crp,no
years of disease,no
clincial information - disease outcome,no
advanced disease stage,no
disease state condition,no
status of disease,no
disease ontology uri,no
host health disease status,no
disease location,no
diseasestaging,no
age/disease timepoint,no
health or disease status of specific host at time of collection,no
Dose disease state,no
host disease stautus,no
disease stat,no
host disease status,no
cardiovascular disease,no
kidney disease,no
liver disease,no
Other frequent host-diseases,no
disease site,no
disease associated genotype,no
disease duration days,no
host disease severity,no
current disease,no
disease free,no
infectious disease,no
Pig tissue,no
tissue type,no
somatic tissue,no
Harvested tissue type,no
tissue processing,no
tissues,no
tissue sample,no
sample tissue of origin,no
tissuebank,no
tissue id,no
tissue source,no
tissue grade,no
harvested tissue type,no
host tissue,no
tissue status,no
tumor tissue,no
wtissue,no
tissuet type,no
cell line source tissue,no
tumor tissue source,no
tissue derivation,no
a.thaliana tissue,no
tissue origin of cancer cell,no
tissue morphology,no
organ/tissue,no
tissue origination,no
tissue and developmental stage,no
tissue preparation,no
tissue region,no
tissue (organ),no
tissue state,no
tissue-of-origin,no
tissue collection method,no
tissue subtype,no
tissue of origin,no
tissue source site,no
tissue pair,no
tissue extraction,no
day of tissue dissection,no
tissue location,no
submitted tissue,no
prostate tissue,no
origin tissue,no
tissue derived,no
tissue typ,no
fresh tissue,no
tissue or cell type,no
cell or tissue type,no
tissue origin of primary cultures,no
tissue provider,no
tissue collection time,no
tissue preservation,no
tissue (brain region),no
tissue archive method,no
tissuer type,no
tissue stage,no
tissue treatment,no
primary tissue,no
tissue subregion,no
developmental stage (of tissue collection),no
cell line tissue source,no
tissue/origin,no
fetal vs adult tissue,no
cell/tissue type,no
tissue sub-type,no
source tissue,no
tissue age,no
tissue mg,no
tissue/cell line,no
tissue harvest methods,no
age at tissue collection (days),no
org part or tissue,no
brain tissue,no
tissue compartment,no
tissue isolated,no
tissue: cell line,no
tissue weigth,no
tissue or cells,no
tissue bank,no
age of ffpe tissue,no
source tissue type,no
original tissue,no
tissue lineage,no
tissue harvested,no
treated tissue,no
tissue condition,no
thyroid tissue type,no
tissue part,no
tissue diagnosis,no
tissue-cy5,no
tissue-cy3,no
tissue region enriched for,no
tissue separation,no
xenograft tissue,no
major tissue,no
tissue subsection,no
tissue location l-r,no
tissue location a-p,no
tissue location p-d,no
tissuetype,no
host tissue sampled,no
tissue archive,no
tissue storage,no
seed compartments/tissue,no
tissue or dev stage,no
tissue and developemental stage,no
tissue/cell preparation,no
mouse tissue,no
tissue group,no
tissue collection,no
organ/tissue type,no
tissue weight,no
tissue color,no
tissue subgroup,no
tissue differentiation state-specific region,no
tissue donor,no
tissue preservation type,no
donor tissue,no
tissue cancer status,no
year of tissue collection,no
sample tissue,no
host tissue subsection,no
genotype/variation for tissue,no
tissue class,no
strain background for tissue,no
histological type of adjacent normal tissue,no
tissues used,no
tissue supergroup,no
metatastic tissue,no
tissue retrospective collection indicator,no
tumor tissue site,no
tissue prospective collection indicator,no
adjacent hepatic tissue inflammation extent type,no
days post germination when tissue was collected,no
tissue harvest,no
tissue isolation,no
tissue size,no
postinjury time point at tissue harvest,no
animal age at tissue harvest,no
tissue for msc establishment,no
tissue donor strain,no
tissues developmental stage,no
number of tissues,no
tissue exosomes,no
tissue and passage,no
tissue cpllection date&time,no
tissue type analyzed,no
tissue rna source,no
tissue population,no
tissue segment,no
tissue/developmental stage,no
tissue preserve method,no
patient group and tissue group,no
tissue collection information,no
tissue depot,no
infected host tissue,no
tissue/treatment id,no
tissue/cells,no
tissue biomaterial provider,no
"Bos Taurus, female, age 4-7 years, tissue",no
tissue appendix,no
tissue harvest site,no
prostatetissue,no
sample/tissue info,no
sample/tissue type,no
tissue anatomic site,no
tissue lib,no
tissue code,no
tissue cell line,no
Mean tissue oxygen mmHg,no
host tissue sample,no
tissue site,no
number of pooled tissues,no
date of tissue preparation,no
tissue abbreviation,no
type of liver tissue,no
characteristics: tissue,no
tissue host,no
tissue appearance,no
metastatic tissue,no
tissues status,no
tissue/cell type source,no
leaf tissue,no
tissue culture growth media,no
tissue/cell,no
developmental stage/tissue,no
plant tissue,no
Source of tissue,no
portion of meristem tissue,no
tissue,no
Cell strain,no
Mouse strain,no
In vivo labeled total RNA from W303-1a yeast strain. t0,no
Fish strain,no
mouse strain,no
recipient strain,no
host mouse strain,no
siv strain,no
substrain,no
virus strain,no
host strain,no
ancestral strain,no
parent strain,no
ancestor strain,no
strain of mouse,no
yeast strain,no
strain of ooplasm,no
strain of paternal pronucleus,no
strain of maternal pronucleus,no
human cytomegalovirus strain,no
strain recipient,no
strain donor,no
cell strain,no
test strain,no
reference strains,no
strain duplicate (a or b),no
reference strain,no
transgenic strain,no
hcmv strain,no
cmv strain,no
vaccine strain,no
infected with bacterial strain,no
b.breve strain,no
bacterial strain,no
ehec strain,no
strain/condition,no
scanstrain,no
strain reference,no
background strain,no
toxoplasma strain,no
parental strain,no
strain (yeast),no
strain (e. coli),no
bacteria strain,no
mouse model strain,no
listeria strain,no
mouse genome informatics (mgi) strains,no
strain/background strain,no
australian epidemic strain-1 code,no
infrequent clonal strain code,no
parasite strain,no
m. tuberculosis strain,no
background/strain,no
source strain,no
bifidum strain,no
strain/model,no
background mouse strain,no
back ground strain,no
strain origin,no
time when gavaged with fermented milk strains,no
immune strain/background,no
pythium strain,no
strain: H37Rv:deltaRv3133c:,no
strain (of recipient mice),no
maternal strain,no
paternal strain,no
toxplasma gondii strain,no
strain: C57Bl/6strain,no
strain cm702 strain is distingished from the wt by the following genetic characteristics,no
strain/isolate,no
evolved strain,no
progeny strain,no
host strain background,no
infection influenza strain,no
background strains,no
pathogen strain,no
inbred strain,no
strain gender,no
viral strain,no
hcmel3 strain,no
strain phenotype,no
insect strain,no
FISH strain,no
host/mouse strain,no
strain that es cell-line is derived from,no
autoimmune strain,no
host strain gender,no
host strain genotype,no
strain genotype,no
submitter-asserted type strain,no
strain info,no
Official strain name,no
Host strain,no
FSMR strain,no
strain number,no
strain PRRSV,no
xam strain,no
strain backround,no
lb strain,no
mouse strain of origin,no
cultivar/strain,no
fungal cultivar/strain,no
Alternate strain,no
alternate strain name,no
rice strain number,no
rat strain,no
sub strain,no
genotype/strain,no
strain backgroud,no
strain form,no
ebv strain,no
source strain background,no
strain parent,no
recipient strain gender,no
islet donor strain,no
candida strain,no
strain genotype/variation,no
candida strain background,no
esc strain,no
strain host,no
influenza strain,no
donor strain and cells,no
hiv-1 strain,no
infection of d. immitis strain,no
genetic strain,no
strain na???ve mice,no
backgroud strain,no
wild or lab strain,no
strain background for tissue,no
p. infestans strain,no
strain of origin,no
strain/variation,no
strain of infection,no
Congenic strain S.LEW (5)x6x9 adult male rat; tissue,no
Congenic strain S.LEW (5)x6x11 adult male rat; tissue,no
strain 1785,no
strain 1783,no
control strain O157,no
bacterial strain used,no
strain of cell line,no
strain background of genotype,no
xenograft host strain,no
submitted strain,no
strain information,no
Alternative strain name,no
Other strain designation,no
internal strain reference,no
tissue donor strain,no
strain/sex,no
Alternate strain 1,no
Alternate strain 2,no
culture strain,no
strain backgroudn,no
ehrlichia strain,no
host strain type,no
toxoplasma parasite strain,no
parental strains,no
genetic background strain,no
recipient strain genotype,no
strain genetic background,no
strain - genotype,no
strain background,no
?strain,no
strain name alias,no
zebrafish strain,no
Mus musculus strain type,no
Alternate strain name,no
strain mouse,no
genomic dna strain,no
strain alias,no
x. oryzae pv.oryzicola strain,no
host organism strain,no
infection (virus strain),no
host strain age,no
influenza virus strain,no
"translation missing: en, metadata, sample, sample metadata, sample strain att",no
strain 2229,no
strain/clone background,no
sac cer strain,no
gla gra strain,no
alternative strain name,no
strain/cell type,no
strain/ecotype background,no
strain status,no
official strain name,no
influenza strain unique number,no
strain balb/cnctr-npc1m1n/j,no
donor strain,no
fungal strain,no
strain1,no
strain2,no
mutant strain,no
lab or wild strain,no
strain/line background,no
strain/line,no
mescs strain,no
phage strain,no
strain synonym,no
sclerotinia sclerotiorum strain,no
brassica napus strain,no
alternative strain,no
TB strain,no
specific host strain,no
Placed in larval packet test papers treated with 0.4% coumaphos. This is approximately a LD25 dosage for each strain. For more details see,no
mite strain,no
strain A (mixed),no
strain B (mixed),no
rat strain/background,no
mouse strain/background,no
genotype,no
Mecp2 genotype,no
Hal genotype,no
pool genotype,no
individual genotype,no
genotype mutant (asense,no
genotype: prototroph 670.20del,no
genotype: prototroph 555.11del,no
genotype: Tn7,no
genotype: 555.11del,no
genotype: 670.20del,no
hcv genotype,no
mouse genotype,no
brca genotype,no
hdh genotype,no
a.thaliana genotype,no
cmv genotype/variation,no
genotype variation,no
genotype: Arabidopsis thaliana (wassilewskija) mutant (phs1-); age,no
genotype: Arabidopsis thaliana (wassilewskija); age,no
genotype: Arabidopsis thaliana (col-0); age,no
genotype: Arabidopsis thaliana (col-0) mutant (ss3- ss4-); age,no
genotype: Arabidopsis thaliana (col-0) mutant (ss4-); age,no
genotype: Arabidopsis thaliana (col-0) mutant (ss3-); age,no
genotype: Arabidopsis thaliana (wassilewskija) mutant (adg1-); age,no
genotype: Arabidopsis thaliana (wassilewskija) mutant (ss4- phs1-); age,no
genotype: Arabidopsis thaliana (wassilewskija) mutant (ss4-); age,no
genotype: Arabidopsis thaliana (wassilewskija) mutant (adg1- be2- be3-); age,no
background genotype,no
bacterial genotype,no
rs1333049 genotype,no
genotype (transgenic line),no
"genotype/variation (cebpa single mutant, cebpa double mutant)",no
host genotype,no
esr1 genotype,no
cell line/genotype,no
genotype/varation,no
genotype(breed),no
genotype/variation: ApcD14/+,no
nqo1 rs1800566 genotype,no
genotype of pollen,no
gp130 genotype,no
rs7956957 genotype,no
tet2 genotype,no
genotype hdh cag repeat length,no
il4r genotype,no
genotype reference,no
braf genotype,no
rs7575840 genotype,no
fto-genotype,no
prdm1 genotype,no
hla-dqb1 genotype,no
meis1 genotype,no
genotype of ecat15-2,no
genotype of ecat15-1,no
transgene genotype,no
15q13 genotype rs4779584,no
12q13 genotype rs11169544,no
8q24 genotype rs7014346,no
10p14 genotype rs706771,no
12q13 genotype rs7136702,no
9q24 genotype rs10975552,no
14q22 genotype rs11623717,no
1q41 genotype rs11579490,no
8q24 genotype rs6983267,no
16q22 genotype rs2059254,no
20q13 genotype rs4925386,no
3q26 genotype rs12638862,no
8q24 genotype rs10505477,no
1q41 genotype rs6691195,no
20p12 genotype rs50005940,no
8q23 genotype rs16892766,no
18q21 genotype rs7226855,no
myostatin genotype,no
2 genotype,no
genotype n,no
pathogen genotype/variation,no
lrrk2 genotype,no
genotype/ecotype,no
maternal genotype/variation,no
paternal genotype/variation,no
e2f1 genotype,no
hd genotype,no
hemoglobin genotype,no
genotype/variation: H37Rv(ΔrsbW/sigF):,no
genotype/background,no
genotype/variation: alg-2; ALG-2:,no
spea2 genotype,no
sdad2 genotype,no
RNASEL R462Q genotype,no
backgroud genotype,no
host soybean genotype,no
genotype/variations,no
apoe genotype,no
genotype brdt,no
genotype/treatment,no
genotype of the cells,no
rs5995355 genotype,no
host/mouse genotype,no
genotype/variataion,no
genotype.variation,no
agenotype,no
per3 genotype,no
relevant genotype,no
cultivar/genotype,no
host strain genotype,no
strain genotype,no
submitted genotype,no
genotype isl1,no
genotype c-maf,no
plant genotype,no
genotyped sex,no
genotypes,no
HLA genotypes,no
precipitated ctcf genotype,no
paternal genotype,no
maternal genotype,no
pol genotype,no
mmr genotype,no
rice genotype,no
rmr1 genotype,no
genotype/strain,no
p53 genotype animal,no
genotype/cultivar,no
strain genotype/variation,no
macroh2a genotype,no
genotype correction status,no
genotype/variaton,no
genotype 2,no
genotype 1,no
genotype/variation for tissue,no
genotype/variatoin,no
Hdh genotype,no
genotype details,no
strain background of genotype,no
PBRM1 genotype,no
SETD2 genotype,no
genotype of s. pombe cells,no
genotype of s. cerevisiae cells,no
genotype analysis performed indicator,no
Kras genotype,no
cell genotype/variation,no
usp28-genotype,no
genotype across subcongenic segment,no
genotype method,no
virus genotype/variation,no
genotype-variation,no
vps35 genotype,no
complete genotype,no
offspring genotype,no
dam genotype,no
ifnl3 rs12979860 genotype,no
fetus genotype,no
genotype/variation vector,no
gstp1 genotype,no
slocus genotype,no
genotype background,no
genotype state,no
full genotype,no
toxoplasma gondii genotype,no
recipient strain genotype,no
genotype mvb1,no
strain - genotype,no
fly genotypes,no
subgenotype,no
disease/genotype,no
genotype/varitaion,no
genotype of pombe cells,no
genotype of cerevisiae cells,no
Symbiodinium genotype,no
pathogen genotype,no
genotype description,no
mtdna genotype,no
genotype code,no
inoculum genotype,no
clonal genotype,no
genotype/variaion,no
cdh1 genotype,no
grandmaternal genotype,no
MLVA-11 genotype,no
MLVA-8 genotype,no
maternal-genotype,no
paternal-genotype,no
mir142 genotype,no
genotype all,no
chimera genotype,no
oocyte genotype,no
epc genotype,no
tumor genotype,no
genotype note,no
MLVA genotype,no
genotype 29 Mb locus,no
genotype 33 Mb locus,no
Plant genotype,no
prdm9 genotype,no
phob genotype,no
psts genotype,no
transfection/genotype,no
genotype of founder fish,no
genotype recipient,no
genotype donor,no
wild type genotype,no
disease associated genotype,no
tdg genotype,no
parental genotype/variation,no
srsf2 genotype,no
inversion genotype,no
recipient mouse genotype,no
donor mouse genotype,no
mouse genotype/variation,no
cell line,no
pam50 predictions plus claudin-low classification (cell line predictor),no
Human myeloma bone marrow cell lines. Cell line and Code,no
Huh7 cell line,no
HEK293 cell line obtained from ATCC (http,no
parental cell line,no
atcc cell line,no
cell line description,no
origin of a cell line,no
cell line derivation,no
tumour cell line used for conditioning medium,no
cell line lineage,no
cell line karyotype,no
cell line source age,no
cell line source gender,no
cell line source tissue,no
cell line source ethnicity,no
cell line origin,no
cell line type,no
growth pattern of cell line,no
pam50 predictions plus claudin-low classification cell line predictor,no
cell line/genotype,no
ovarian cancer cell line,no
cell line reference,no
cell line source,no
cell line of origin,no
cell line traits,no
cell line passage,no
human cell line,no
iPS cell line,no
source cell line,no
background cell line,no
cell line (sorted),no
RCC cell line type,no
cell line/cell type,no
cell line tissue source,no
hybrid cell line,no
primary cell line,no
tumor cell line,no
tissue/cell line,no
leukemia cell line,no
cell line name,no
cell line background,no
cell line resistance,no
dendritic cell lineages,no
tissue: cell line,no
human leukemia cell line,no
donor cell line,no
cell line stably expressing,no
or cell line,no
es cell line,no
es cell line type,no
construct stably transfected into cell line,no
cell line initiation date,no
A-427 cell line (ATCC nr,no
The A172 cell line (ATCC nr,no
cell line derived,no
original mes cell line,no
pancreatic tumor cell line,no
stable cell line,no
control lymphoblastoid cell line id,no
wbs lymphoblastoid cell line id,no
cell line stably expresses,no
cell line clone,no
origin cell line,no
cell line details,no
cell line founder animal,no
cell line p. promelas,no
infected cell line,no
cho cell line,no
xenograft cell line,no
esc cell line,no
cell line id,no
spike-in cell line,no
cell line derived from gem model of prostate cancer,no
passage of cell line,no
collected from cell line,no
cell line/subline,no
StratageneRef; RNA for the reference was pooled from 11 cell lines - obtained from Stratagene.; Protocol Type = Biological Sample; Performer,no
"Human pancreatic carcinoma, epithelial-like cell line, Gender",no
strain of cell line,no
breast cancer cell line,no
transfected cell line,no
host cell line,no
mutant cell line reference,no
contaminating cell line,no
cell line status,no
hepatocellular carcinoma cell line,no
cell line info,no
cell line test,no
cell line/clone id,no
cell line note,no
cell line sournce,no
nf2 mutational status of cell line,no
cell line ebv-status,no
cd4 t cell line,no
viral infection of host cell line,no
transfection of host cell line,no
implated cell line/type,no
infected host cell line,no
responder cell line,no
brain-homing cell line,no
parental non-brain metastatic cell line,no
cell line/type,no
cell line conditioning,no
originating cell line,no
cell line code,no
cell line info.,no
human cell line STR profile,no
human cell line SNP profile,no
human cell line STR profile status,no
"synonymous, misidentified or derivative cell line names",no
tissue cell line,no
cell line used,no
tumor cell line implanted in mouse,no
original cell line,no
pig cell line,no
permanent cell line cell,no
obsolete immortal cell line cell,no
cell line/vendor,no
cell line specificity,no
dilutions of the malignant b-cell line,no
parental cell line id,no
stromal cell line,no
cell line name alias,no
macrophage cell line,no
cell line cell,no
B-lymphoma cell line,no
melanoma cell line,no
renal cell carcinoma cell line,no
osteosarcoma cell line,no
myelocytic leukemia cell line,no
gender,no
recipient gender,no
mc4 gender,no
mc5 gender,no
mc3 gender,no
mc1 gender,no
mc2 gender,no
mc6 gender,no
ma2 gender,no
ma6 gender,no
ma1 gender,no
ma3 gender,no
ma5 gender,no
ma4 gender,no
cell line source gender,no
sex (gender),no
gender (mouse),no
gender (rat),no
patient gender,no
gender composition,no
gender (sex),no
source gender,no
gender of mice,no
donor gender,no
mouse model gender,no
subject gender,no
fetus gender,no
gender m,no
host gender,no
gender and age,no
female gender,no
strain gender,no
gender of baby,no
s gender,no
ageyears/gender,no
gender m=male; f=female,no
gender 6pfc 6,no
gender 4pfc 4,no
gender 1pfc 1,no
gender 5pfc 5,no
gender 8pfc 8,no
gender 7pfc 7,no
gender 3pfc 3,no
gender 9pfc 9,no
gender 2pfc 2,no
gender 1pfu 1,no
gender 1pfu 2,no
agender,no
host strain gender,no
age/gender,no
gender type,no
recipient strain gender,no
racegendersite,no
"gender m=1, f=2",no
gender donor,no
gender 1=m/2=f,no
"gender,",no
gender of donor,no
age: 8 week old gender,no
newborn gender,no
gender 1=male,no
"gender 1 = male, 0 = female",no
gender male or female,no
offspring gender,no
"gender 1-male,2-female",no
fetal gender,no
gender 1M 2F,no
"gender(1:M,2:F)",no
host other gender,no
babygender m f,no
vioscreen gender,no
gender/age,no
gender specific,no
animal gender,no
organism part,no
organism part(tissue),no
additional organism part information,no
organism type,no
organism weight,no
host organism,no
organism detected using array,no
organism detected in blood culture,no
supporting culture organism,no
organism structure,no
organism(s),no
organism part information,no
organism status,no
host organism for xenografts only,no
organism reference,no
organism count,no
organism modifier note,no
microorganisms,no
organism isolated from,no
Other organism,no
exp prey organism,no
organism synonym,no
spike-in reference organism,no
xenograft host organism,no
organism cultured from ulcer,no
dbd source organism,no
pathogen organism,no
infecting organism,no
host organism strain,no
organisms in mixed sample,no
Host organism,no
LD50 no of organisms,no
organisms,no
target organism,no
organism type1,no
simulated organism,no
organism host,no
interspecies interaction between organisms,no
