Term,key_class,values
cell line subpopulation,cell line,"invasive, reference"
cell line name,cell line,"k-562 (atcc_Š ccl-243__¢), a375p, tt-fhago2, mds-l, tt-ago2"
leukemia cell line,cell line,k562
cell line derivation,cell line,"late stage embryos, 39-year-old parous japanese female diagnosed with endometrial adenocarcinoma stage 2., bone marrow"
cell line/clone,cell line,"line, clone fips5-7, clone fips2-10, clone fips1-14, clone fips6-3"
cell line traits,cell line,"loss of p53, loss of hormone receptors er and pr"
cell line source gender,cell line,"male, female"
cell lineage,cell line,"mesoderm, ectoderm, endoderm, inner cell mass, international hapmap project - ceph/utah - european caucasion"
originating cell line,cell line,"molt-4, pc-3/m, rxf 393, uacc-62, a549"
cell line(s),cell line,"mouse es cells and human fibroblast, human fibroblast"
growth pattern of cell line,cell line,"n/a, sclc-classic, sclc-variant"
tumor cell line,cell line,"nccit, mc38, be2c, 1273, syo-1"
cell line resistance,cell line,"no igf-1r drugs resistant, stably resistant to igf-1r hab ave1642 hab, stably resistant to igf-1r tki nvp-aew541, stably resistant to igf-1r hab cp-751,871"
injected cell line,cell line,"nsc11, u87, nsc11r, u87r"
cell line description,cell line,"ntera-2 cl.d1 [nt2/d1] atcc number crl-1973, embryonal carcinoma cell line derived from a human teratocarcinoma, biphenotypic b myelomonocytic leukemia (mll-af4 rearragenment), a cd4+ (miranda, wolf et al. 1996) and cd34+ presenting cell line (naujokat, sezer et al. 2000), acute myeloid leukemia (mll-af9 rearrangement), human acute monocytic leukemia"
cell lines,cell line,"osteoblast, 1_adenocarcinoma, mammary gland 2_hepatoblastoma, liver 3_adenocarcinoma, cervix 4_embryonal carcinoma, testis, 5_glioblastoma, brain 6_melanoma 7_liposarcoma 8_histiocytic lymphoma
 raji, human malignant melanoma_92-1, human malignant melanoma_c32tg"
donor cell line,cell line,"panc291, panc198, panc219, panc420, panc253"
cell line population,cell line,"parental, subclone 4"
human colon cancer cell line,cell line,pc/aa/c1/sb10c
cell line source tissue,cell line,"peripheral blood, primary human hypopharyngeal squamous cell carcinoma"
dendritic cell lineages,cell line,"plasmacytoid dendritic cells (pdc), myeloid dendritic cells (mdc1), epidermal langerhans cells"
cell line (derived),cell line,"plc8024, mhcc97h"
cell line source,cell line,"polyclonal cell line gm13130, american type culture collection (atcc) number crl_1550, normal, non-pregnant female, polyclonal cell line gm12878, american type culture collection (atcc) number htb_33"
cell line ebv-status,cell line,positive for ebv
rcc cell line type,cell line,"primary rcc cell line, none, metastatic rcc cell line"
cell line type,cell line,"prostate cancer cell line, small cell lung carcinoma,melanoma cell line, less-aggressive cell line, immortalised"
source cell line,cell line,"r1, h9, a431, mnng/hos, bg01v"
reference cell lines,cell line,"reference pool of lncap, du145, pc3, and cwr22 cell lines"
origin of a cell line,cell line,"referencekolossov e. et al., j exp med 203(10)2315-2327, 2006., referencemeissner a. et al., nat. biotechnol. 25(10)1177-1181, 2007., james thomson, university of wisconsin, es cell international, singapore, clontech (cat. no. 636532, lot 7120603a)"
human leukemia cell line,cell line,reh
ovarian cancer cell line,cell line,"sk-ov-3, tov-21g, ovcar-3, sk-ov-3 p38dn"
stable cell line,cell line,stable cell lines inducibly expressing flag/ha-tagged rbm10
human cell line,cell line,"supt1, lovo epithelial cells atcc ccl-229, kmb17"
parental cell line,cell line,"t47d-y, mda-mb-231, skbr-3, t47d-yb, hek 293 flp-in t-rex"
cell line provider,cell line,the european collection of cell cultures (ecacc)
responder cell line,cell line,upn727
cell line (sorted),cell line,
cell line lineage,cell line,
cell line stably expresses,cell line,
cell line stably expressing,cell line,
cell line/type,cell line,
or cell line,cell line,
virus isolation cell line,cell line,
pancreatic cell type,cell type,"adult pancreatic endocrine cells, adult pancreatic exocrine-duct cells"
cancer cell type,cell type,"aggressive, non-aggressive, metastatic, parental"
cell type(s),cell type,"all, keratinocytes and fibroblasts, neurons (neun+), non-neurons (neun-, predominantly glia), bmsc, nrvcm"
targeted cell type,cell type,b cell
cell type/line,cell type,"btic, snb19, nsc, c17.2"
cell type (immunophenotype),cell type,"cd133/2 positive, cd133/2 negative"
cell type subpopulation,cell type,"cd25+ treg, cd25- non-treg, cd25-"
sorted cell type,cell type,"cd34+cd45ra-, hematopoietic stem cells (hsc1), multipotent progenitor cells (mpp), common myeloid progenitor cells (cmp), granulocyte-monocyte progenitors (gmp)"
cell type subset,cell type,"dec205+, cd11b+, cd11b, esam+, cd11b esam-dec205 esam-"
cell types,cell type,"dfci 121, dfci 123, primary mouse embryonic fibroblasts e13.5, burkitts lymphoma (raji) and breast adenocarcinoma (mcf-7), hesc derived pancreatic endoderm, isolated conventional and plasmacytoid dendritic cells"
cell type [c],cell type,endothelial
cell type derived from,cell type,"fetal liver, bone marrow, pancreatic islet beta cells, spleen"
cell type origin,cell type,"hodgkin's lymphoma, cultured lncap cells, fibroblast, cervical cancer, myelogenous leukemia"
background cell type,cell type,immortalized human bronchial epithelial cell
cell type (sorted),cell type,"macrophages, ntreg, itreg, ex-itreg"
tumor cell type,cell type,"mixed, epithelioid, na, the rat-derived c6 glioma cell line was obtained from the american type culture collection (manassas, va). the cells were routinely maintained in dmem supplemented with l-glutamine, 1% penicillin/streptomycin solution, and 10% fbs in a humidified co2 incubator at 37 __c., neuroblastoma"
host cell type,cell type,"monocyte derived dendritic cells (mddcs), enucleated mii oocytes, t lymphocyte"
source cell type,cell type,"mouse mammary epithelial cells, human embryonic stem cells (hescs), circulating tumor cells, csf, mouse embryonic fibroblast (mef)"
cell type/growth condition,cell type,"nave t-cells from spleen under th17 polarizing conditions, nave t-cells from spleen under th2 polarizing conditions, nave t-cells from spleen activated by anti-cd3 and anti-cd28, ilc2s were sorted from the mln of il-25-treated mice, bone marrow derived dendritic cells stimulated with lps for 6hrs"
tissue or cell type,cell type,"oocyte, embryo, embryoid body, embryonics stem cell, liver"
sarcoma and primary cell type,cell type,"osteosarcoma, ewing sarcoma, neuroblastoma (metastatic), chondrosarcoma, fibrosarcoma"
primary cell type,cell type,"primary macrophages (derived from blood monocytes), human foreskin fibroblast (hff)"
test cell type,cell type,repo-gal4/uas-uprt
other cell types,cell type,"skin, few fibrous strands"
t cell type,cell type,"sorted cd4+ conventional t cells from spleen and lymph nodes, sorted cd4+ regulatory t cells from spleen and lymph nodes, teff, treg, tfh"
melanoma cell type,cell type,"spheroid cells, adherent cells"
b cell type,cell type,"tumorous, normal, naive (facs sorted primary human), plasma cell (facs sorted primary human), memory (facs sorted primary human)"
cell type,cell type,"tumorous, normal, naive (facs sorted primary human), plasma cell (facs sorted primary human), memory (facs sorted primary human)"
cultured cell type,cell type,"wt culture cell, snd1 culture cell, vnd6 culture cell"
cell type (human),cell type,xenograft tumors (ht29 cells)
source of cell type,cell type,
disease relapse (event),disease,1
disease free survival (months),disease,12
disease free interval (months),disease,15
other diseases,disease,"""-"", positive lead test"
chronic diseases,disease,"""-"", yes"
disease subtype,disease,"[er+/pr+]her2-, refractory anemia (ra), refractory anemia with ringed sideroblasts (rars), refractory anemia with excess blasts 2 (raeb2), refractory anemia with excess blasts 1 (raeb1)"
code disease-specific survival,disease,"0, 1"
disease_free_survival_years,disease,"0, 1, na, 10, 0.67"
disease-free interval (months),disease,"0, 24, 23, 37, 40"
disease free interval (days),disease,"0, 462, 122, 546, na"
duration of disease (month),disease,"0, unknown, 1"
disease progression (event),disease,"1, 0"
stage of disease,disease,"1, 2"
diseasestatus,disease,"1, 2, nafld, nash, normal control"
stage of disease (inss),disease,"1, 4, 2, 4s, 3"
residual disease (cm),disease,"1, not evaluated, 6, 3, 0"
mean disease duration,disease,1.7yrs.
disease_free_survival_event,disease,"10, na, 0.42,1, 3"
disease-free survival (dfs),disease,"107 months, 28 months, 32 months, 2 months, 3 months"
disease stage,disease,"2, cancer, benign, relapse, remission"
disease free survival (month),disease,"21, 23, 22, 1, 9"
trg disease state,disease,"3, 2, 4, 1"
disease duration (yrs),disease,"4, 9, 7, 1"
age at disease onset,disease,"41, 35, 30, 37, 32"
disease causing mutation,disease,"aav-mediated insertional mutagenesis, h22y, heterozygous for d303n, t50m, a230t"
disease outcome,disease,"alive, dead"
twin's disease state,disease,"allergic, healthy"
chief disease,disease,als
disease severity/outcome,disease,"asymptomatic, encephalitis, meningitis"
clinical disease stage,disease,castration-resistant prostate cancer
disease exposure,disease,diabetes
duration of disease,disease,"diagnosed at inclusion, 6 years, 21 years, 16 years, 5 years"
donor disease state,disease,"fibrocystic disease, adenocarcinoma"
disease model,disease,"glioblastoma, medulloblastoma, congenital heart disease (chd) with increased pulmonary blood flow (pbf), control, normal"
disease_status,disease,"healthy control, bipolar disorder, healthy, down syndrome, sle"
disease course,disease,"healthy control, secondary progressive multiple sclerosis, n/a, 2 years at time of biopsy, 1 year at time of biopsy"
disease_onset,disease,"healthy, 2, 3, 4, 7"
diseasestate,disease,"healthy, adenocarcinoma, breast cancer, carcinoma, normal"
advanced disease stage,disease,"hgd, eac, lgd, im"
disease location,disease,"ileal and colonic involvement, ileal involvement only, colonic involvement only"
disease phenotype,disease,"illeal crohn's disease, ulcerative colitis, no inflammatory bowel disease, stage iv melanoma"
aggressiveness of disease,disease,"indolent, aggressive"
disease phase,disease,"late period, early period, control"
disease extension,disease,"left-sided colitis, --, pancolitis"
patient disease status,disease,"localized neuroblastoma, with a diagnosis of cyanotic tetralogy of fallot congenital heart disease, metastatic neuroblastoma, healthy young donor, normal"
extent of disease,disease,"localized, unknown, metastatic"
lung disease,disease,"lung cancer (before surgical resection of lung cancer), none (no current or past lung cancer or non-cancerous nodule), non-cancerous lung nodule, none (after surgical resection of lung cancer)"
disease_severity,disease,"moderate, healthy, severe, mild, unclassified"
disease category,disease,"mpn_pmf, blast phase_pmf, mpn_et, mpn_pv, blast phase_et"
residual disease,disease,"n/a, < 1 cm, no"
disease severity,disease,"n/a, severe, mild, not applicable, 7 (p)"
disease activity (das28_v3),disease,"na, 5.13, 3.69, 3.87, 3.26"
disease activity (das28_v1),disease,"na, 6.04, 5.52, 4.06, 4.33"
diseaseduration(years),disease,"na, 8, 10, 11, 9"
disease status,disease,"neurologically and neuropathologically normal, healthy, control, prostate cancer, unaffected"
celiac disease,disease,"no, yes"
dead of disease,disease,"no, yes"
source disease status,disease,"non-aneurysm, aneurysm, ruptured"
primary disease,disease,"none, breast cancer, hodgkin lymphoma, heart transplant"
etiology of liver disease,disease,"none, hepatitis c virus"
meibomian gland disease state,disease,"none, moderate, severe"
disease,disease,"none, multiple sclerosis, carcinoma, derived from metastatic site, left supraclavicular lymph node, advanced colorectal (crc), cancer, control"
disease-state,disease,"normal (reduction mammoplasty), breast cancer"
disease/treatment status,disease,"normal, aat treated, diabetic, power mix treated"
ocular disease,disease,"normal, amd"
disease type,disease,"normal, chronic hepatitis c patient, in-transit melanoma, t-all, t-lbl"
disease_state,disease,"normal, hcv-infected, carcinoma, lymphoma, adenocarcinoma"
disease state,disease,"normal, lymphoma, healthy, control, tumor"
lyme disease stage,disease,"not applicable, none, lyme arthritis, early, disseminated or late"
disease state (host),disease,"p53null mammary tumors, trp53-null mammary tumors"
disease development,disease,"post-treatment non-lesional, lesional, normal, pre-treatment non-lesional"
status of disease,disease,progressive
disease progression status,disease,"rapid progessor, elite/viremic controller, viremic non-progessor"
disease status of patient,disease,"rcdii, celiac disease, crohn's disease"
disease group,disease,"remission, failure of treatment, new, non-metastatic, nonatopic control"
subject's disease state,disease,"sickle cell disease, control"
source disease,disease,squamous cell carcinoma
advanced disease state,disease,"stage iii, stage I, stage ii, stage iv"
disease resistance,disease,"susceptible, resistant"
disease-resistance,disease,"susceptible, resistant"
disease state (phenotype),disease,"wildtype, affected"
disease progression,disease,"without metastases, bone metastasis, no bone metastasis, progressor, with metastases"
diseased,disease,"yes, no"
disease/cell type,disease,
hiv disease status,disease,
female gender,gender,"0, 1"
gender and age,gender,2 year old caucasian female
strain gender,gender,c57bl/6
gender (sex),gender,"f, na"
gender (rat),gender,female
source gender,gender,"female fly, male, female"
gender of mice,gender,"female, male"
gender (1#pfu_2),gender,m
gender (1#pfu_1),gender,m
gender (male/female),gender,"m, f, 1/1/2017"
gender (mouse),gender,male
gender of the clone,gender,male
gender (pup),gender,male
xenograft recipient gender,gender,male
mouse model gender,gender,male
strain c57bl/6 gender,gender,male age10 weeks tissuesubstantia nigra(sn) disected bilaterally from six like-treated mice.
ma4 gender,gender,male age10 weeks tissuesubstantia nigra(sn) disected bilaterally from six like-treated mice
gender of human sera,gender,"male, female"
gender of baby,gender,"male, female"
host gender,gender,"male, female"
donor gender,gender,"male, female"
cell line source gender,gender,"male, female"
fetus gender,gender,"male, female"
donor's gender,gender,"male, female"
gender,gender,"male, female, m, f"
subject gender,gender,"male, female, m, f"
patient gender,gender,"male, female, n1, 1, 2"
recipient gender,gender,"male, none, female"
gender composition,gender,"of the 10 in the pool, 2 were women, 8 were men"
adnp+/- gender,gender,
mc3 gender,gender,
mc2 gender,gender,
mc5 gender,gender,
mc4 gender,gender,
mc1 gender,gender,
mc6 gender,gender,
ma2 gender,gender,
strain c57bl/6 gender,gender,
ma5 gender,gender,
ma3 gender,gender,
ma1 gender,gender,
ma6 gender,gender,
il4r genotype,genotype,"""-/-"", +/+"
genotype of ecat15-1,genotype,"15-1+/+, 15-1ct/ct, 15-1flox/flox"
genotype of ecat15-2,genotype,"15-2-/-, 15-2+/+"
apoe genotype,genotype,"3,4, 3,3, 4,4, 3/3, 2,4"
hla-dqb1 genotype,genotype,"302, 02, 0302, 2"
genotype icsbp1,genotype,"33, 13, 11"
per3 genotype,genotype,"4\4, 5\5"
backgroud genotype,genotype,717-1b4
genotype/varat,genotype,"Š_asc1, wt"
14q22 genotype rs11623717,genotype,"aa, ag, gg"
9q24 genotype rs10975552,genotype,"aa, ag, gg"
hemoglobin genotype,genotype,"aa, as, ac"
18q21 genotype rs7226855,genotype,"aa, gg"
rs5995355 genotype,genotype,"ag, gg, aa"
12q13 genotype rs7136702,genotype,"ag, gg, aa,"
individual genotype,genotype,"alcohol preferring (p), alcohol non-preferring (np)"
genotype/variation (offspring),genotype,apoe-/+
20p12 genotype rs50005940,genotype,"at, aa, tt"
genotype reference,genotype,"baumberger & baulcombe 2005. pnas 102(33)11928-33., montgomery et al., 2008. cell 133(1)128-41., wang et al., 2010., pnas 107(1)484-9."
background genotype,genotype,"by4741, wild type, parental, congenic"
rb1 genotype,genotype,"c1816inst, loh"
host genotype,genotype,"c57bl/6 mouse, wild-type, tnfr 1, 2 -/-"
nqo1 rs1800566 genotype,genotype,"cc, ct, na, tt"
15q13 genotype rs4779584,genotype,"cc, ct, tt"
16q22 genotype rs2059254,genotype,"cc, ct, tt"
8q24 genotype rs7014346,genotype,"cc, ct, tt"
20q13 genotype rs4925386,genotype,"cc, ct, tt, nd"
genotype of pollen,genotype,cdka
cmv genotype/variation,genotype,cmvf-_2b
brca genotype,genotype,cmvf-__2b
genotype/ecotype,genotype,"col-0, det2-1, ga1-5"
plant genotype,genotype,"columbia-0 pen2-1 pad4-1, sag101-2 mutant expressing mla1-ha, ha-ago2-dad (ago2-1)
 columbia-0 pen2-1 pad4-1 sag101-2 mutant, ha-ago10-ddh (col-0), ha-ago1-dah (col-0)"
8q24 genotype rs10505477,genotype,"ct, tt, cc"
th-mycn mouse genotype,genotype,"deficient caspase-8, wild type caspase-8"
genotype/varaiation,genotype,dereg x ldlr-/-
e2f1 genotype,genotype,"e2f1+/+, e2f1-/-"
host/mouse genotype,genotype,"fut2_ko, wild type, fut2(+/-)_ko"
rs1333049 genotype,genotype,"gc, gg, cc"
lrrk2 genotype,genotype,"gg (wt), ga (g2019s), wt / wt, wt / lrrk2 gs, transgenic ga (g2019s)"
10p14 genotype rs706771,genotype,"gg, ag, aa"
rs7956957 genotype,genotype,"gg, cg, cc"
1q41 genotype rs11579490,genotype,"gg, gt, tt"
1q41 genotype rs6691195,genotype,"gg, gt, tt"
rs7575840 genotype,genotype,"gg, tx"
genotype = gs(1)n441 (mat,genotype,"gs(1)n441/fm7c), gs(1)n441)"
8q24 genotype rs6983267,genotype,"gt, gg, tt"
strain genotype,genotype,"h minus (cnp1-flag:kanr), h minus (leu1 ade6 cnp20+-flag[kanr]), h minus (lys:cnp1halys+), h minus (scm3-19-ha[kanr] lys1+cnp1-gfp), by4743"
genotype/background,genotype,"harboring a plasmid encoding for the polyhistidine-tagged sigma factor gene, heterozygous for the krt14-cre transgene and homozygous (ilk-deficient) for the floxed ilk alleles, heterozygous for the krt14-cre transgene and heterozygous (ilk-expressing) for the floxed ilk alleles"
hd genotype,genotype,"hd, wild type"
infection (e. coli genotype),genotype,"hlya1-, cnf1- hlya1-, cnf1-, pbs control, wt"
host genotype/variation,genotype,"irradiated wild-type, irradiated tgfb1 heterozygote, sham-irradiated wild-type, sham-irradiated tgfb1 heterozygote"
genotype/genetic variation,genotype,"k5rta, epcam negative, epcam positive, k5rta tetotgfbeta"
genotyped sex,genotype,"male, female"
relevant genotype,genotype,"mata, sth1td ubr1(delta), h- ura4-d18 leu1-32 ade6-704, rsc3-9myc, rpb1-1"
pool genotype,genotype,mata/alpha ura3delta0 leu2delta his3delta1 lys2delta0/lys2 met15delta0/met15 can1delta:leu2-mfa1pr-his3/can1 xxx:kanmx/xxx
genotype(breed),genotype,"mix, greyhound, rottweiler, golden ret."
maternal genotype,genotype,"msh22, flagstaff 14, ms, lw, rpa-70-egfp/+"
hcv genotype,genotype,"n/a, genotype 1b, 1"
rb genotype/variation,genotype,"n750f,wt,loh, ko"
hal genotype,genotype,nn
myostatin genotype,genotype,"normal, mstn exon 3 floxed"
genotype (transgenic line),genotype,nrlp-egfp
genotype of the cells,genotype,"p53(246/-), p53(-/-)"
genotype p53,genotype,"p53fl/fl, p53.1224, fl/fl"
genotype.variation,genotype,"pik3ca knockdown, control"
sdad2 genotype,genotype,"positive, negative"
spea2 genotype,genotype,"positive, negative"
prdm1 genotype,genotype,"prdm1ca/+, prdm1beh/beh, villin-cre, prdm1ca/beh, prdm1+/+"
hdh genotype,genotype,"q7/q7, q111/q111, q7/q111"
rnasel r462q genotype,genotype,"qq, rr, rq, na"
genotype rb,genotype,"rbfl/+, rb+/+, fl/fl"
a.thaliana genotype,genotype,"rdr1/2/6 mutant, rdr1 mutant, wild type (col)"
genotype/variataion,genotype,"scramble shrna control, creb knock-down, luciferase, shrna control, crtc1-maml2/maml2, knock-down
 maml2 knock-down"
genotype/variaion,genotype,"sgpp1-/-, sgpp1+/+"
transgene genotype,genotype,"t transgene, homozygous, t and s transgenes, homozygous"
tbx1 genotype,genotype,"tbx1-/-, tbx1+/-, tbx1+/+"
genotype/ variation,genotype,"trib1-/- unstimulated, wild-type unstimulated"
genotype abbreviation,genotype,"trphet, trpnull"
12q13 genotype rs11169544,genotype,"tt, ct, cc"
3q26 genotype rs12638862,genotype,"tt, ct, cc"
8q23 genotype rs16892766,genotype,"tt, gt, gg"
braf genotype,genotype,"v600e mutationwildtype, wildtype"
host soybean genotype,genotype,"widltype, nfr"
genotype/varitaion,genotype,"wild type, ä_sml0013:km mutant, f/f, stably expressing hbz, snai1 knockout"
genotype/variaton,genotype,"wild type, e‚µ-myc wrn dhel/dhel, e‚µ-myc, delta kpst mutant, bca81"
bacterial genotype,genotype,"wild type, gala7 mutant, hpap mutant"
gp130 genotype,genotype,"wild type, gp130-deficient"
genotype/treatment,genotype,"wild type, homozygote"
ndrg1 genotype,genotype,"wild type, knock-out"
offspring genotype,genotype,"wild type, pigr+/-, pigr-/-, 5ht1a knockout"
genotype/variation (host),genotype,"wild type, tgfb1 heterozygote"
genotype (brdt),genotype,"wild type, th2b+/tag, ko-/-, th2b kd, ko+/+"
genotype,genotype,"wild type, wt, wild-type, wildtype, b73xh99 f1 hybrid"
genotype/variation,genotype,"wild type, wt, wild-type, wildtype, refpool"
genotype/variations,genotype,"wild-type mice, siah1a-/-:siah2-/- (ko) mice, tg2576 appswe-transgenic mice"
maternal genotype/variation,genotype,wildtype
parental genotype/variation,genotype,wildtype
paternal genotype/variation,genotype,wildtype
genotype/varation,genotype,"wildtype
 wild type
 rdo5-1, transgenic mice, bearing a wild-type, allele of ar with 24 cags (ar-24q), transgenic mice carrying a full-length human ar with 97 cags (ar-97q)"
pathogen genotype/variation,genotype,"wildtype, ä_abvf19-8, wild type, abpf2 deletion mutant"
idh1/2 genotype,genotype,"wildtype, idh1mutant, idh2mutant"
mouse genotype,genotype,"wildtype, in vitro, kraslsl-g12d, bl6.wt, wild-type"
genotypes,genotype,"wt pkbalpha, ko pkbalpha, ko/rescued, pkbalpha, te, ct101, c24, col-0"
esr1 genotype,genotype,"wt, ex3aerko (esr1 null), kiko (dna binding deficient), aerko (esr1 null), eaae"
atf2 genotype,genotype,"wt, ko"
meis1 genotype,genotype,"wt, ko"
genotype variation,genotype,"wt, ko, luxs negative, nrf-/-, nrf+/+"
tet2 genotype,genotype,"wt, mutant"
precipitated ctcf genotype,genotype,"wt, mzf8, mzf7, mzf9, r339w/mzf3*"
tissue genotype/variation,genotype,"wt, p53 mutant"
nod2 genotype,genotype,"wt/wt, r702w/wt, insc/r702w, insc/insc"
mecp2 genotype,genotype,y/-.
sex (0-female 1-male),sex,"1, 0"
sex (0-male 1-female),sex,"1, 0"
sex (male.1_female.2),sex,"1, 2, na"
baby's sex,sex,"f, m"
cell sex,sex,"f, m, u, b"
sex of donor mice,sex,female
sex/age,sex,"female, 3-5 days old, m/48, f/62, f/67"
newborn sex,sex,"female, male"
sex/age at diagnosis (years),sex,female/49
sexual_orientation,sex,"homosexual, heterosexual"
recipient sex,sex,"m, f"
sex/mating type,sex,"m, f"
donor sex,sex,"m, f, male, female, unknown"
sex of recipient mice,sex,male
proband sex,sex,male
genotyped sex,sex,"male, female"
mouse sex,sex,"male, female"
sex (gender),sex,"male, female"
sex of patient,sex,"male, female"
sex,sex,"male, female, m, f, unknown"
patient sex,sex,"male, female, m, n/a, f"
sexual maturity,sex,mature
apparent sex,sex,"normale female, apparent impsex female"
sexed,sex,"pcr, manual"
sexual differentiation,sex,undifferentiated
sex chromosome complement,sex,"xx, xo, xy, xy-, xxsry"
sex chromosome ploidy,sex,"xy, xx, xo"
"""=- sex""",sex,
ctl bone 64 years sex,sex,
w sex,sex,
transgenic strain,strain,": fsp1-egfp, mmtv-wnt-1, mmtv-wnt/ilk"
strain 3235 = scc1-pk3,strain,:his
strain 379 = scc1-ha6,strain,:his3
strain by4741 ptc2,strain,:kanmx4
strain by4741 ptc4,strain,:kanmx4
strain yjdi381 gal1-taf1,strain,:kanmx6 + taf1 ts2
strain by4741 ptc1,strain,:nat1
strain [background],strain,"(n>6)b6.129, b6129 hybrid, (n>>2)b6.129, b6"
strain dba2(%),strain,"0, 75, 100, 50"
strain sjl(%),strain,"0, 9, 37.5, 84, 69"
strain serotype,strain,1/2a
strain (genetic background),strain,"129svjae/c57b6 f1, c57bl/6 x b6129 ola"
strain b6(%),strain,"16, 0, 62.5, 31, 100"
infrequent clonal strain code,strain,"1mel, 5mel"
b.breve strain,strain,210b
toxoplasma strain,strain,"2f, pru, ctg"
bxd strain,strain,"33, 28, 21, 40, 12"
strains,strain,"5500 yeast mutants, pcc 9802 and fgp-2, 200-800 zebrafish from ab*,ab2o2,ab2o2 golden and ab2o2 leo, bd11, bn, bd11, sprd-cu3"
strain duplicate (a or b),strain,"a, b"
infection (virus strain),strain,"a/california/07/2009 (h1n1), n/a, influenza a/h1n1 virus isolated from a patient with fatal, pneumonia during the first outbreak in mexico city in april 2009., influenza seasonal virus a/pr/8/34 strain"
inbred strain,strain,"a/j, b6by.c.132.54, c57bl/6byj, balb/cj"
strain/accession,strain,atcc 200175
t cell strain,strain,b10.br
strain of ooplasm,strain,b6
strain of paternal pronucleus,strain,b6
maternal strain,strain,"b6, f1, his2av-mrfp iii.1 (bloomington 23650), c57bl6/j (b6), castaneus (cast)"
strain or line,strain,"b6c3f1, fischer, f344/ducrl, sprague-dawley rat, sprague dawley"
strain (donor),strain,balb/c
strain (host),strain,balb/c
xenograft recipient strain,strain,balb/c
source strain,strain,"balb/c, riii"
parental strain,strain,"bdiv and bdix, cross of h4-8 and h4-8b"
strain.rep,strain,"bro1, bro2, dah1, als1, ap1"
listeria strain,strain,"bug2384, bug2466"
yeast strain,strain,"by4720-leu3null, by4741, snt2-13myc, ecm5-13myc, ybc2192"
strain (or line),strain,by4742
strainorline,strain,"by4742, s2, dbaxc57bl/6j, jb371, singapore"
strain of maternal pronucleus,strain,"c3h, b6"
strain donor,strain,c3h/hen
strain description,strain,"c57 black 6, the most common inbred strain of laboratory mouse, unknown strain origin, strain c3h, very related to c57bl/6, strain 129, has widely available embryonic stem cells, derived by inbreeding from selected f2 progeny of b10.a x b10.129"
congenic strain,strain,c57bl/6
organ-derived dc strain,strain,c57bl/6
