class1,class2,class3,class4
time in spo (hours),treatment before sampling,fibroblast cell strain,braf genotype
timepoint (weeks),treatment age,eri-1 mutant strain,host genotype
time exposure,treatment,toxoplasma strain,tet2 genotype
time after stimulation,treatments prior to dasatinib,jackson lab. strain,strain genotype
time post treatment,nrti treatment status,secondary host strain,genotype/treatment
timesincemating,treatment time,transgenic strain,rb1 genotype
time point (hours),treatment*,background mouse strain,hcv genotype
time point (h),treatment variable,background strain(s),il4r genotype
time in culture,treatment time (hours),toxoplasma parasite strain,per3 genotype
time after exposure,treatment batch,background strain,host/mouse genotype
time (hrs),treatment status,human cytomegalovirus strain,bacterial genotype
time point (months),treatment category,background strains,prdm1 genotype
time-points collected,treatment description,p. syringae pv tomato strain,hla-dqb1 genotype
age at time of resection,treatment of mouse,xenograft recipient strain,mecp2 genotype
time pre_post surgery (years),treatment type,strain for c57bl/6,apoe genotype
time (post-infection),treatment_given,strain c57bl/6  gender,hal genotype
time of specimen collection,treatment amount [c],strain c57bl/6 gender,tbx1 genotype
time and stimulation,treatment_schedule,strain y3724,e2f1 genotype
time after infection (h),treatment arm,strain by4741 ptc5,hdh genotype
time in fr light,treatment_response,strain by4741 ptc51,maternal genotype
time sacrificed,treatment route,strain by4741 ptc2,relevant genotype
time(wpi),treatment delivery,strain/cell-line,gp130 genotype
time_hpi,treatment drug,strain by4741 ptc1,a.thaliana genotype
time of relapse,treatments comments,strain by4741 ptc4,mouse genotype
time after injury,treatment-time,strain y3403,ndrg1 genotype
time in entraining conditions,treatment (chemo),strain by4741 ptc3,
time to death (mos),treatment dose,strain sr957,
tissue collection time,treatment group,strain sr959,
time.to.ok,treatment of the mice,strain (cy5),
timeunit,treatment response,strain of the clone,
time to next relapse(days),treatment gp,strain duplicate (a or b),
time post transfection,treatment_time[hr],strain sr954,
time to meta or recurrence,treatment compound,strain description,
time of progression,,strain source,
time_rec (years),,strain sr753,
time of atoh1 expression,,rat strain,
time post injection,,strain (genetic background),
time post-treatment,,strain sr595,
time (doxorubicin),,strain jlrela,
timepoint,,strain (mouse),
sample time after surgery,,strain y2197,
sampling time group,,strain of maternal pronucleus,
sampling time,,strain info,
secondary time course,,strain 1783,
sample time,,strain,
units of treatment time,,strain 1785,
units of harvest time point,,strain 877 = mata wpl-9pk,
time f/u,,strain recipient,
,,strain or line,
,,strain 3235 = scc1-pk3,
,,strain y2468,
,,strain sjl(%),
,,strain of mouse,
,,strain number,
,,strain [background],
,,strain tw1,
,,strain 379 = scc1-ha6,
,,strain y3071,
,,strainorline,
,,strain (or line),
,,strain backgroud,
,,strain sr1187,
,,strain origin,
,,strain (host),
,,1996). strain cd4ko (rrp6,
,,strain with gal,
,,strain (rat),
,,strain genotype,
,,strain (of recipient mice),
,,strain y3272,
,,strain name,
,,strain y3351,
,,strain y2460,
,,strain b6(%),
,,strain jam1,
,,strain y2699,
,,strain of ooplasm,
,,strain/cell line background,
,,strains,
,,strain_description,
,,strain phenotype,
,,strain (yeast),
,,strain donor,
,,strain sr453,
,,strain tw14,
,,strain dba2(%),
,,strain y3586,
,,strain[background],
,,strain (cy3),
,,strain details,
,,strain (donor),
,,strain by4741-msn2,
,,strain background,
,,strain of paternal pronucleus,
,,strain/accession,
,,strain yjdi381 gal1-taf1,
,,strain(s),
,,strain id,
,,strain gender,
,,strain by4741-pho23,
,,strain type,
,,strain serotype,
,,strain.rep,
,,strain (e. coli),
,,strain by4741-rco1,
,,strain sr563,
,,strain by4741-rpd3,
,,strain y3650,
,,strain by4741-ume6,
,,strain fgsc number,
,,strain crl,
,,strain/model,
,,strain/condition,
,,strain/genotype,
,,strain/ecotype,
,,strain/isolate,
,,strain/genotype variation,
,,strain/genotyp,
,,infection (influenza strain),
,,strain/line,
,,virus strain,
,,infection (virus strain),
,,infrequent clonal strain code,
,,infected with bacterial strain,
